turns,winner,white_rating,black_rating,opening_name,opening_ply
52,black,1503,1498,Scandinavian Defense,2
70,black,1629,1603,Queen's Pawn Game: Franco-Sicilian Defense,4
75,white,1500,1393,Blackmar-Diemer Gambit Declined |  Weinsbach Declination,8
48,black,1873,2105,Queen's Pawn Game #3,4
53,white,2065,1879,Pirc Defense #5,3
25,black,1886,2001,Queen's Pawn Game: Stonewall Attack,5
71,white,1797,2083,English Opening: Anglo-Indian Defense |  King's Indian Formation,4
27,white,1500,1500,Queen's Gambit Accepted: Rosenthal Variation,6
77,white,1128,795,Hungarian Opening: Indian Defense,2
130,black,1128,2177,Hungarian Opening: Symmetrical Variation,2
85,white,1114,1189,Hungarian Opening,1
51,draw,1191,1111,Van't Kruijs Opening,1
53,white,1111,921,Hungarian Opening: Catalan Formation,4
36,black,897,1111,Modern Defense,2
26,white,1111,897,Hungarian Opening,1
52,white,1099,1124,Zukertort Opening: Kingside Fianchetto,2
139,white,1115,1013,Hungarian Opening,1
72,black,1099,1115,Modern Defense,2
142,black,1099,1115,Modern Defense,2
60,black,1136,843,Hungarian Opening: Symmetrical Variation,2
23,white,798,1157,Modern Defense,2
9,white,2419,1157,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
43,white,1151,964,Hungarian Opening,1
34,black,1113,1581,King's Pawn Game: Leonardis Variation,3
38,white,1098,1202,Philidor Defense: Nimzowitsch Variation #2,6
23,white,1083,1218,Scotch Game,5
6,black,1091,1203,Sicilian Defense: Bowdler Attack,3
37,white,1236,1098,Scotch Game,7
19,white,1112,1109,King's Pawn Game: Wayward Queen Attack,3
21,white,1188,1118,Queen's Pawn Game: Levitsky Attack,3
65,draw,1116,1173,Scandinavian Defense,2
28,black,1139,1104,Scotch Game,5
19,white,1100,1116,Ruy Lopez: Berlin Defense #2,6
47,white,1614,1711,Pirc Defense #4,2
30,black,1623,1701,Pirc Defense: Byrne Variation,7
100,black,1716,1659,Slav Defense #2,5
71,draw,1794,1714,King's Indian Defense: Steiner Attack,11
29,white,1749,1726,Pirc Defense,4
43,white,1711,1760,Queen's Gambit Declined: Harrwitz Attack,7
35,white,1700,1625,Slav Defense: Three Knights Variation,7
32,white,1689,1593,Tarrasch Defense: Symmetrical Variation,10
85,white,1663,1705,Nimzo-Larsen Attack: Indian Variation,2
112,black,1695,1691,Pirc Defense: Classical Variation,8
34,white,1676,1684,English Defense #2,2
38,black,1696,1659,Pirc Defense #4,2
25,white,1651,1466,Queen's Gambit Accepted: Normal Variation,5
15,white,1635,1647,Englund Gambit,2
41,white,1525,1657,Pirc Defense #4,2
49,white,1640,1650,Queen's Gambit Refused: Chigorin Defense |  Modern Gambit,8
68,white,1782,1651,Pirc Defense #4,2
51,white,1630,1697,Queen's Gambit Declined: Harrwitz Attack,7
50,black,1674,1655,Mexican Defense,4
45,white,1643,1696,Slav Defense,4
92,black,1708,1864,Budapest Defense: Adler Variation,7
70,black,1760,1683,Queen's Pawn Game: Levitsky Attack,3
86,black,1839,1651,Slav Defense: Exchange Variation,5
54,black,1664,1820,Nimzo-Indian Defense #2,5
45,white,1641,1645,Queen's Gambit Accepted: Slav Gambit,6
42,black,1657,1614,Pirc Defense: Byrne Variation,7
25,white,1700,1635,Pirc Defense #4,2
45,white,1602,1671,Queen's Gambit Refused: Baltic Defense,4
70,black,1655,1566,King's Indian Defense,6
136,black,1582,1770,Nimzo-Indian Defense: Ragozin Variation,8
40,black,1648,1591,Pirc Defense,4
44,draw,1629,1586,Pirc Defense,4
58,black,1480,1551,Pirc Defense: Kholmov System,7
52,black,1577,1763,Old Indian: Czech Variation |  with Nc3,6
74,black,1614,1732,Slav Defense #2,5
63,white,1890,1639,Pirc Defense: Classical Variation |  Schlechter Variation,9
88,draw,1642,1638,Pirc Defense #4,2
85,white,1549,1551,Tarrasch Defense,6
65,white,1652,1674,Indian Game,2
81,white,1500,1497,Slav Defense #2,5
68,black,1871,1774,Nimzo-Indian Defense: Saemisch Variation |  Accelerated,9
56,black,1201,1871,Queen's Pawn Game,2
75,white,1870,1202,Horwitz Defense,2
14,black,1573,1866,Scandinavian Defense: Mieses-Kotroc Variation,4
68,black,1771,1857,English Opening: Anglo-Scandinavian Defense,2
24,black,1630,1851,Slav Defense: Three Knights Variation,7
21,white,1799,1866,Scandinavian Defense: Mieses-Kotroc Variation,4
18,black,1585,1861,French Defense: King's Indian Attack,3
43,white,1857,1590,French Defense: Exchange Variation,5
41,black,1594,1852,Scandinavian Defense: Mieses-Kotroc Variation,4
16,black,1873,1574,Budapest Defense: Adler Variation,7
57,draw,1875,1821,Semi-Slav Defense,8
75,white,1875,1074,Queen's Gambit Accepted: Old Variation,5
48,black,1887,1892,Queen's Gambit Declined: Queen's Knight Variation,5
41,white,1880,1781,Benoni Defense: Benoni Gambit Accepted,3
54,black,1825,1869,French Defense: Knight Variation,3
93,white,1940,1879,Scandinavian Defense: Mieses-Kotroc Variation,4
64,draw,1815,1882,Van't Kruijs Opening,1
57,white,1878,1534,Horwitz Defense,2
22,white,1873,1630,Queen's Gambit Declined: Three Knights Variation,7
73,white,1757,1891,Scandinavian Defense: Mieses-Kotroc Variation,4
53,white,1887,1564,Queen's Gambit Refused: Chigorin Defense #2,5
60,black,1426,1885,Scandinavian Defense,2
95,white,1879,1671,Queen's Gambit Refused: Baltic Defense |  Pseudo-Slav,8
89,white,1872,1708,Semi-Slav Defense,8
58,black,1900,1900,Semi-Slav Defense: Noteboom Variation |  Abrahams Variation,16
74,black,1923,1211,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9
73,white,1907,1677,Semi-Slav Defense: Accelerated Move Order,6
42,black,1683,1901,Queen's Pawn Game #3,4
55,black,1730,1893,French Defense: Knight Variation,3
45,white,1886,1737,Modern Defense,2
47,white,1720,1905,Zukertort Opening: Tennison Gambit,3
27,white,1903,1454,Queen's Gambit Refused: Marshall Defense,4
67,white,1894,1775,Dutch Defense: Queen's Knight Variation,5
55,white,1889,1641,Queen's Gambit Declined: Queen's Knight Variation,5
29,white,1883,1646,Queen's Gambit Declined: Vienna Variation |  Quiet Variation,9
50,black,1651,1878,Scandinavian Defense: Mieses-Kotroc Variation,4
50,black,1217,1259,Zukertort Opening: Arctic Defense,2
52,black,1271,1517,Zukertort Opening: Black Mustang Defense,2
28,black,1500,1406,Zukertort Opening: Reversed Mexican Defense,3
8,black,1132,1258,Van't Kruijs Opening,1
22,black,1303,1248,Scandinavian Defense,2
84,black,1257,1296,King's Pawn Game: Wayward Queen Attack,3
25,white,1152,1271,Italian Game,5
68,black,1283,1255,King's Pawn Game: Wayward Queen Attack,3
82,black,1295,1226,King's Pawn Game: Wayward Queen Attack,3
8,black,1448,1280,English Opening: The Whale,3
151,white,1268,1312,Sicilian Defense,2
81,white,1378,1276,Scandinavian Defense: Mieses-Kotroc Variation,4
34,black,1284,1370,King's Pawn Game: Wayward Queen Attack,3
60,black,1311,1272,Englund Gambit Declined |  Reversed French,3
47,white,1245,1284,Mikenas Defense: Cannstatter Variation,6
100,draw,1331,1296,Barnes Defense,2
40,black,1305,1360,King's Pawn Game: Wayward Queen Attack,3
110,black,1193,1298,Queen's Pawn Game: Colle System,5
57,white,1288,1257,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
51,white,1245,1300,Three Knights Opening,5
70,black,1315,1189,Sicilian Defense,2
19,white,1302,1377,St. George Defense,2
65,white,1251,1314,Elephant Gambit,4
45,white,1307,1180,King's Pawn Game: Napoleon Attack,3
37,white,1290,1548,King's Pawn Game: Busch-Gass Gambit,4
37,white,1419,1309,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
59,white,1303,1321,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,5
30,black,1227,1312,Scandinavian Defense,2
63,white,1304,1226,Modern Defense,2
45,white,1371,1315,King's Pawn Game: Napoleon Attack,3
128,black,1325,1361,King's Pawn Game: Wayward Queen Attack,3
40,black,1340,1316,King's Pawn Game: Wayward Queen Attack,3
31,white,1307,1246,King's Pawn Game: Napoleon Attack,3
97,white,1296,1298,King's Pawn Game: Napoleon Attack,3
7,white,1285,1279,Nimzowitsch Defense,2
15,white,1328,1295,Italian Game,5
58,black,1283,1499,Sicilian Defense: Jalalabad Variation,4
9,white,1310,1304,Russian Game: Damiano Variation,6
14,black,1316,1298,Italian Game: Giuoco Pianissimo,7
43,white,1307,1272,French Defense: Steinitz Attack,3
53,white,1304,1318,Bishop's Opening,3
46,black,1236,1309,King's Pawn Game: Beyer Gambit,4
91,white,1297,1319,Scotch Game: Schmidt Variation,8
49,white,1258,1299,King's Pawn Game: Busch-Gass Gambit,4
53,white,1288,1268,Sicilian Defense: Smith-Morra Gambit #2,3
17,white,1242,1291,King's Pawn Game: Napoleon Attack,3
17,white,1291,1242,King's Pawn Game: Napoleon Attack,3
22,black,1291,1500,English Defense #2,2
46,black,1291,1318,Indian Game,2
59,white,1430,1434,King's Pawn Game: McConnell Defense,4
43,white,1824,1500,Horwitz Defense,2
25,black,1500,1332,Elephant Gambit,4
55,white,1604,1344,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,5
61,white,1494,1364,English Opening: King's English Variation |  Three Knights System,5
8,white,1500,1364,Elephant Gambit,4
38,black,1661,1364,Bishop's Opening,3
16,white,1500,1364,Elephant Gambit: Paulsen Countergambit,6
98,black,1364,1525,Center Game #2,3
79,white,1525,1364,King's Pawn Game: Damiano Defense,4
68,white,1390,1364,Van't Kruijs Opening,1
17,white,1168,1364,Van't Kruijs Opening,1
55,white,1364,1500,Russian Game: Damiano Variation,6
47,white,1832,1500,English Opening,1
47,white,2005,1500,Italian Game,5
74,black,1500,1531,Hungarian Opening: Slav Formation,4
71,white,1531,1500,Queen's Pawn Game,2
12,black,1500,1500,Italian Game: Two Knights Defense |  Ponziani-Steinitz Gambit,8
52,black,1386,1468,Vienna Game,3
26,white,1371,1398,Scandinavian Defense: Blackburne Gambit,6
66,black,1413,1271,Queen's Pawn Game: Mason Attack,3
42,black,1279,1406,Scandinavian Defense,2
135,white,1398,1286,Queen's Pawn Game: Mason Attack,3
27,black,1407,1461,Sicilian Defense: Old Sicilian,4
53,white,1283,1422,Scandinavian Defense,2
29,white,2244,1411,Queen's Gambit Accepted: Old Variation,5
54,black,1411,1411,Scandinavian Defense: Blackburne Gambit,6
69,white,1391,1411,Bishop's Opening: Berlin Defense,4
28,black,1337,1391,Scandinavian Defense: Blackburne Gambit,6
87,white,1300,1405,King's Pawn Opening: 2.b3,3
26,black,1084,1402,Blackmar-Diemer Gambit: Vienna Variation,8
43,white,1396,1231,Bishop's Opening: Berlin Defense,4
50,black,1406,1416,Bishop's Opening: Calabrese Countergambit,4
49,white,1405,1417,Queen's Pawn Game: Chigorin Variation,4
128,black,1426,1481,Four Knights Game,6
54,white,1472,1436,Scandinavian Defense: Blackburne Gambit,6
49,white,1430,1256,Horwitz Defense,2
55,white,1335,1444,Scandinavian Defense,2
59,white,1436,1345,Englund Gambit,2
76,black,1355,1428,Scandinavian Defense,2
41,black,1441,1338,Bishop's Opening,3
56,black,1451,1480,Queen's Pawn Game: Mason Attack,3
82,black,1386,1442,Scandinavian Defense: Blackburne Gambit,6
75,white,1429,1511,Bishop's Opening,3
131,white,1416,1491,Queen's Pawn Game: Mason Attack,3
38,black,1387,1406,Scandinavian Defense: Blackburne Gambit,6
69,black,1375,1396,Scandinavian Defense: Blackburne-Kloosterboer Gambit,4
48,black,1406,1423,Scandinavian Defense,2
80,black,1364,1397,Scandinavian Defense,2
35,white,1330,1409,Zukertort Opening: Reversed Mexican Defense,3
81,white,1404,1197,Bishop's Opening,3
49,white,1397,1415,Queen's Pawn Game: Chigorin Variation,3
79,white,1405,1408,Queen's Pawn Game: Mason Attack,3
13,white,1171,1422,Queen's Pawn Game: Chigorin Variation,3
105,white,1412,1401,French Defense #2,2
83,white,1518,1419,Hungarian Opening,1
46,black,1280,1413,Scandinavian Defense: Blackburne Gambit,6
77,white,1393,1527,Queen's Pawn Game,2
51,white,1730,1393,System: Double Duck Formation,4
55,white,1527,1393,Queen's Pawn Game #2,3
78,black,1309,1393,Scandinavian Defense: Mieses-Kotroc Variation,4
51,white,1393,1309,Queen's Pawn Game: Colle System,5
78,black,1393,1527,Queen's Pawn Game #2,3
56,black,1393,1309,Queen's Pawn Game #3,4
134,black,1428,1279,Queen's Pawn Game #3,4
63,white,1428,1730,Queen's Pawn Game #2,3
61,white,1730,1428,Rat Defense: Small Center Defense,4
50,black,1428,1527,Queen's Pawn Game #2,3
87,white,1279,1428,Scandinavian Defense: Mieses-Kotroc Variation,4
65,white,1730,1428,Queen's Pawn Game,2
73,white,1500,1428,Zukertort Opening: Tennison Gambit,3
25,white,1527,1309,Saragossa Opening,1
137,draw,1730,1309,Nimzowitsch Defense: Scandinavian Variation |  Bogoljubov Variation |  Heinola-Deppe Gambit,6
56,black,1309,1730,Vienna Game,3
107,white,1527,1309,Queen's Pawn Game #3,4
78,black,1309,1393,Scandinavian Defense: Mieses-Kotroc Variation,4
169,draw,1730,1309,Queen's Pawn Game #3,4
51,white,1393,1309,Queen's Pawn Game: Colle System,5
108,black,1309,1527,Scandinavian Defense: Mieses-Kotroc Variation,4
56,black,1393,1309,Queen's Pawn Game #3,4
37,white,1845,1507,Queen's Pawn,1
70,black,1509,1868,Dutch Defense,3
16,black,1513,1783,Horwitz Defense,2
60,black,1599,1499,Scandinavian Defense,2
61,white,1539,1510,Nimzowitsch Defense,2
72,black,1519,1557,Indian Game: Pawn Push Variation,3
120,black,1533,1507,Queen's Pawn,1
24,black,1513,1695,Hungarian Opening,1
54,black,1518,1716,King's Gambit Accepted |  Bishop's Gambit,5
155,white,1609,1526,Queen's Gambit Declined: Modern Variation,7
80,black,1535,1620,Bird Opening: Dutch Variation,2
59,white,1729,1553,Nimzowitsch Defense |  Declined Variation,3
50,black,1526,1542,Sicilian Defense,2
53,white,1508,1555,Nimzowitsch Defense: Breyer Variation,6
27,white,1531,1579,Ruy Lopez: Morphy Defense |  Caro Variation,8
43,white,1581,1541,Italian Game: Schilling-Kostic Gambit,6
52,black,1550,1620,Queen's Gambit Accepted: Bogoljubov Defense,9
82,black,1562,1556,Italian Game: Schilling-Kostic Gambit,6
53,white,2167,1562,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
60,black,1130,1383,King's Gambit Accepted |  Fischer Defense,6
50,black,1136,1383,Mieses Opening,1
37,white,1383,1136,Giuoco Piano,6
76,black,984,1378,Blackmar-Diemer Gambit: Gedult Gambit,5
46,black,1378,1377,Elephant Gambit,4
11,white,1372,1003,Sicilian Defense,4
77,white,1364,1065,French Defense: Knight Variation,3
20,black,1196,1348,Queen's Gambit Accepted: Old Variation,5
37,white,1336,1088,French Defense: Knight Variation,3
89,white,1310,1273,Russian Game: Three Knights Game,5
17,draw,1382,1304,Bishop's Opening,3
30,white,1285,1116,Sicilian Defense: Old Sicilian,4
77,white,1271,1328,Four Knights Game: Italian Variation,8
89,white,1574,1562,Queen's Pawn Game: Colle System,5
67,draw,1590,1561,Sicilian Defense: Staunton-Cochrane Variation,3
31,white,1558,1235,Queen's Gambit Accepted: Rosenthal Variation,6
101,white,1547,1567,Queen's Gambit Accepted: Old Variation,5
37,white,1517,1559,King's Indian Defense: Normal Variation |  Rare Defenses,9
80,black,1429,1552,French Defense: Knight Variation,3
107,white,1741,1810,Bird Opening: Dutch Variation,2
64,black,1805,1727,French Defense: Knight Variation,3
63,white,1866,1734,French Defense: Advance Variation |  Euwe Variation,10
44,white,1722,1756,Zukertort Opening: Queen's Gambit Invitation,2
81,black,1740,1496,King's Gambit Accepted |  Abbazia Defense,8
164,black,1750,1804,Reti Opening,3
52,black,1757,1893,Scotch Game: Classical Variation,8
95,white,1746,1743,Zukertort Opening: Kingside Fianchetto,2
90,black,1534,1740,French Defense: Queen's Knight,3
49,white,1498,1759,Kadas Opening,1
35,white,1672,1774,French Defense: Winawer Variation |  Maroczy-Wallis Variation,12
72,black,1932,1757,French Defense: Tarrasch Variation,5
89,white,1742,1856,Gruenfeld Defense: Exchange Variation |  Modern Exchange Variation,13
36,black,1500,1425,Sicilian Defense,4
35,white,1425,1500,Sicilian Defense: Nimzo-American Variation,8
21,white,1417,1326,Old Indian Defense,4
105,white,1403,1428,Sicilian Defense,2
15,black,1437,1458,Queen's Gambit Declined: Modern Variation,7
21,white,1446,1448,Sicilian Defense: Canal Attack |  Main Line,6
46,white,1441,1331,Nimzo-Indian Defense: Ragozin Variation,8
42,black,1470,1428,Sicilian Defense: Bowdler Attack,3
63,white,1415,1484,Mikenas Defense,2
62,white,1402,1495,English Opening: Great Snake Variation,2
96,black,1345,1392,Sicilian Defense: Closed Variation |  Traditional,4
33,white,1420,1403,King's Indian Defense,6
37,white,1556,1410,Sicilian Defense: Bowdler Attack,3
43,white,1507,1418,London System,5
47,white,1410,1300,Owen Defense,2
63,white,1398,1416,Ruy Lopez: Berlin Defense |  Improved Steinitz Defense,8
41,white,1383,1410,East Indian Defense,4
36,black,1428,1222,Scandinavian Defense: Main Line,6
42,black,1436,1522,King's Pawn Game: McConnell Defense,4
31,white,1428,1318,Ruy Lopez: Berlin Defense #2,6
45,white,1500,1435,Paleface Attack,3
60,white,1593,1442,King's Indian Defense,6
39,white,1469,1453,Sicilian Defense: Smith-Morra Gambit #2,3
114,draw,1450,1525,French Defense: Advance Variation |  Paulsen Attack,9
74,black,1461,1490,Ruy Lopez: Bird Variation,6
58,black,1400,1451,Sicilian Defense: Alapin Variation,3
76,black,1525,1418,Sicilian Defense: Alapin Variation,3
60,black,1427,1433,King's Pawn Game: Damiano Defense,4
30,black,1464,1416,Sicilian Defense: Alapin Variation,3
20,black,1476,1387,Reti Opening #2,2
59,white,1378,1318,Alekhine Defense: Brooklyn Variation,4
76,black,1299,1369,King's Indian Defense: Six Pawns Attack,8
48,black,1384,1285,Sicilian Defense: Kan Variation |  Modern Variation,9
64,black,1500,1374,Sicilian Defense,4
62,black,1333,1364,Sicilian Defense,2
51,white,1350,1409,Philidor Defense: Nimzowitsch Variation #2,6
69,white,1327,1383,Caro-Kann Defense: Two Knights Attack,5
40,black,1337,1384,French Defense: Marshall Variation,6
68,black,1033,1333,Indian Game: Anti-Gruenfeld |  Advance Variation,5
38,black,1500,1287,Ruy Lopez: Exchange Variation |  Lutikov Variation,8
5,white,1465,1287,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
105,white,1413,1305,Nimzo-Larsen Attack: Modern Variation #4,5
43,white,1275,1308,Italian Game,5
33,white,1245,1259,French Defense: Two Knights Variation,5
32,white,1292,1275,Slav Defense: Three Knights Variation,7
131,white,1264,1315,King's Pawn Game: Wayward Queen Attack,3
38,white,1282,1234,Russian Game: Three Knights Game,5
75,white,1250,1156,Scandinavian Defense,2
32,black,1250,1500,Ruy Lopez: Berlin Defense #2,6
57,white,1138,1176,King's Knight Opening: Normal Variation,4
33,white,1373,1084,Scandinavian Defense: Mieses-Kotroc Variation,4
121,white,2286,1373,Queen's Pawn Game: Chigorin Variation,4
52,black,1194,1311,Van't Kruijs Opening,1
92,draw,1330,1268,Russian Game: Three Knights Game,5
43,white,1511,1500,King's Pawn Game,2
48,black,886,1659,Center Game: Kieseritzky Variation #4,7
41,white,1358,886,Sicilian Defense: Bowdler Attack,3
23,white,1620,890,Zukertort Opening: Sicilian Invitation,2
49,white,1484,898,Sicilian Defense: Staunton-Cochrane Variation,3
61,white,1500,898,Sicilian Defense,4
19,white,1325,921,French Defense: Paulsen Variation,5
27,white,1397,940,Four Knights Game: Italian Variation,7
31,white,1500,963,Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation,8
56,black,1049,1234,French Defense: Paulsen Variation,5
91,white,1118,1049,Englund Gambit Declined |  Reversed French,3
36,white,1110,1500,Queen's Pawn Game: Chigorin Variation,3
20,black,1500,1595,Scandinavian Defense,2
31,white,1359,1500,King's Pawn Game: Busch-Gass Gambit,4
12,black,1500,1595,Scandinavian Defense,2
22,black,1500,1500,Duras Gambit,2
21,white,1649,1500,Queen's Pawn Game: Mason Attack,3
7,white,1500,1500,Bishop's Opening,3
18,black,1500,1683,Bishop's Opening: Boi Variation,4
99,white,1804,2023,Alekhine Defense: Exchange Variation,9
60,black,1822,1588,Elephant Gambit,4
62,black,1853,1809,English Opening: Anglo-Indian Defense |  Hedgehog System,4
47,white,1805,1536,Scotch Game: Benima Defense,8
52,black,1580,1800,King's Knight Opening: Konstantinopolsky,5
51,white,1794,1597,Elephant Gambit,4
69,white,2100,1798,Scotch Game: Classical Variation,8
47,white,1789,1695,Sicilian Defense,4
63,white,1774,1894,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
94,black,1719,1765,Ruy Lopez: Berlin Defense #2,6
57,white,1874,1765,Ruy Lopez: Berlin Defense: Mortimer Trap,10
54,black,1781,1956,Zukertort Opening: Old Indian Attack,3
41,white,1773,1659,Caro-Kann Defense: Advance Variation |  Botvinnik-Carls Defense,6
41,white,1899,1780,Center Game: Kieseritzky Variation #4,7
44,black,1714,1771,Ruy Lopez: Berlin Defense #2,6
85,white,2032,1776,Modern Defense: Averbakh Variation,7
2,white,1765,1234,Nimzo-Larsen Attack,1
26,black,1246,1753,Englund Gambit,2
12,white,1739,1260,Hungarian Opening,1
14,black,1279,1720,Nimzo-Larsen Attack,1
73,white,1694,1305,Zukertort Opening: Queen's Gambit Invitation,2
3,white,1654,1345,Nimzo-Larsen Attack,1
6,black,1423,1576,French Defense: Normal Variation,3
26,draw,1662,1337,Benoni Defense: Benoni Gambit Accepted,3
3,black,1500,1500,Horwitz Defense,2
34,white,1579,1022,Queen's Gambit Refused: Baltic Defense,4
70,black,1028,1284,King's Gambit,3
35,white,1307,1033,French Defense #2,2
43,white,983,1051,French Defense #2,2
42,black,1058,1249,Scandinavian Defense,2
11,black,1066,1256,King's Gambit Accepted |  King's Knight Gambit,5
20,black,1073,1313,King's Gambit Declined |  Queen's Knight Defense,4
65,white,1308,1079,Scotch Game,5
39,white,1046,1096,French Defense: King's Indian Attack,3
112,black,1118,1002,Mikenas Defense,2
61,white,1107,977,French Defense,4
119,white,1125,1124,Queen's Pawn Game: Mason Attack,3
49,white,1328,1133,Alekhine Defense: Mokele Mbembe |  Vavra Defense,6
92,black,1150,1157,French Defense: La Bourdonnais Variation,3
52,white,1131,1167,Scandinavian Defense,2
16,white,1107,1225,Scandinavian Defense,2
52,black,1129,1096,Petrov's Defense,4
16,black,1132,1107,French Defense: Knight Variation,3
67,white,1208,1123,French Defense: Knight Variation,3
7,white,1099,1198,Center Game #2,3
34,black,1110,1320,Scandinavian Defense,2
37,white,1315,1122,English Opening: Anglo-Lithuanian Variation,2
81,white,1094,1144,Vienna Game: Zhuravlev Countergambit #2,4
58,black,1317,1049,Zukertort Opening: Pirc Invitation,2
27,black,1061,1297,Bishop's Opening: Boi Variation,4
42,black,1074,1292,Center Game #2,3
49,white,1287,1089,Bishop's Opening: Berlin Defense,4
119,white,1098,1123,Queen's Pawn Game: Chigorin Variation,3
44,black,1138,1368,Owen Defense,2
30,white,1114,998,Modern Defense,2
47,black,1296,1051,Queen's Pawn Game: Chigorin Variation,4
95,white,1045,1101,Queen's Pawn Game: Zukertort Variation,3
16,black,1138,1217,King's Knight Opening: Normal Variation,4
49,white,1062,1216,French Defense: Classical Variation,6
3,white,1045,1080,Center Game #2,3
67,white,1175,1121,Russian Game: Three Knights Game,5
64,black,1253,1232,Russian Game: Moody Gambit,7
86,black,1253,1956,Horwitz Defense,2
36,black,1257,1715,Old Benoni Defense,2
41,white,1923,1258,Caro-Kann Defense: Exchange Variation,5
38,black,1262,1661,Queen's Pawn Game: London System,5
70,black,1265,1720,Horwitz Defense,2
39,white,1782,1268,Caro-Kann Defense: Hillbilly Attack,3
25,white,1551,1276,Caro-Kann Defense,5
23,white,1810,1278,Caro-Kann Defense: Two Knights Attack,5
19,black,1283,1668,Sicilian Defense: Smith-Morra Gambit #2,3
43,white,2003,1284,Caro-Kann Defense: Modern Variation,5
109,white,1239,1699,Vienna Game,3
45,white,1670,1243,Caro-Kann Defense: Advance Variation |  Botvinnik-Carls Defense,6
46,black,1246,1759,Italian Game: Giuoco Pianissimo |  Normal,8
40,black,1252,1611,Sicilian Defense: Staunton-Cochrane Variation,3
31,white,1955,1253,Caro-Kann Defense: Tartakower Variation,10
32,black,1256,1703,Queen's Gambit Declined: Normal Defense,6
45,white,1866,1258,Four Knights Game: Rubinstein Countergambit |  Henneberger Variation,9
96,black,1666,1212,Queen's Pawn Game: Chigorin Variation,4
52,black,1212,2215,Nimzo-Indian Defense,6
69,white,1928,1213,Queen's Gambit Declined: Normal Defense,6
58,black,1178,1616,Pirc Defense: Kholmov System,7
48,black,1268,1142,Alekhine Defense: Maroczy Variation,3
72,black,1017,1122,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
104,black,1152,1158,Sicilian Defense: Loewenthal Variation,8
93,draw,983,1167,Sicilian Defense: Delayed Alapin,5
55,black,1168,1833,Sicilian Defense: Staunton-Cochrane Variation,3
38,black,1182,1429,Center Game #2,3
68,black,1347,1417,Italian Game: Scotch Gambit Declined,8
65,white,1406,1371,King's Pawn Game: McConnell Defense,4
32,black,1467,1390,Italian Game: Giuoco Pianissimo |  Normal,8
99,white,1423,1402,Vienna Game: Stanley Variation |  Reversed Spanish,6
83,white,1411,1431,Four Knights Game: Spanish Variation,7
52,black,1358,1420,Russian Game: Urusov Gambit,5
17,white,1422,1500,Queen's Gambit Refused: Austrian Defense,4
72,black,1500,1422,Bird Opening: Dutch Variation,2
23,white,1416,1330,Queen's Gambit Refused: Chigorin Defense |  Exchange Variation,6
50,black,1173,1410,Sicilian Defense: Staunton-Cochrane Variation,3
39,white,1725,1402,Scandinavian Defense,2
104,black,1550,1372,Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation,8
35,white,1355,1352,English Opening: King's English Variation,2
125,draw,1452,1351,French Defense: Advance Variation |  Paulsen Attack,9
80,black,1362,1458,Ruy Lopez: Berlin Defense #2,6
56,black,1500,1362,Zukertort Opening: Reversed Mexican Defense,3
6,black,1375,1435,English Opening,1
77,white,1500,1375,Queen's Pawn Game,2
14,white,1355,1431,English Opening: King's English Variation,2
49,white,1333,1471,King's Knight Opening,3
101,white,1831,1520,Russian Game: Three Knights Game,5
39,white,1864,1520,King's Gambit Accepted |  Schallopp Defense,6
47,white,1288,1520,Blackmar-Diemer Gambit: Zeller Defense,6
24,black,1616,1504,Ruy Lopez: Steinitz Defense,6
122,black,1584,1504,King's Knight Opening: Normal Variation,4
58,black,1504,1612,Scandinavian Defense: Mieses-Kotroc Variation,4
68,black,1504,1737,Petrov's Defense #2,5
66,black,1504,1500,English Opening: King's English Variation |  Two Knights Variation,4
58,black,1500,1504,Queen's Pawn Game: Mason Attack,3
51,white,1504,1500,English Opening: King's English Variation |  Reversed Sicilian,3
38,black,1500,1504,Queen's Pawn Game: Mason Attack,3
61,white,1606,1504,Russian Game: Three Knights Game,5
74,black,1504,1606,Caro-Kann Defense: Exchange Variation,5
56,black,1500,1504,King's Pawn Game: King's Head Opening #2,3
81,white,1504,1500,Scandinavian Defense,2
54,black,1500,1504,Blackmar-Diemer Gambit,3
41,white,1504,1500,Bishop's Opening: Khan Gambit,4
62,black,1500,1504,Mieses Opening: Reversed Rat,2
42,black,943,1504,King's Pawn Game,2
89,white,1504,1184,Modern Defense: Lizard Defense |  Mittenberger Gambit,6
33,draw,1428,1507,Philidor Defense #2,4
28,black,1233,1503,Italian Game: Anti-Fried Liver Defense,6
25,white,1500,1149,Bishop's Opening,3
56,black,1587,1500,Queen's Pawn Game: Chigorin Variation,4
16,black,1500,1587,Budapest Defense: Adler Variation,7
